,native_emms_unit,native_concs_unit,RCMIP_emms_key,RCMIP_emms_unit,RCMIP_emms_scaling,RCMIP_concs_key,RCMIP_concs_unit,RCMIP_concs_scaling
c2f6,Mt,ppb,Emissions|F-Gases|PFC|C2F6,kt C2F6/yr,0.001,Atmospheric Concentrations|F-Gases|PFC|C2F6,ppt,0.001
c3f8,Mt,ppb,Emissions|F-Gases|PFC|C3F8,kt C3F8/yr,0.001,Atmospheric Concentrations|F-Gases|PFC|C3F8,ppt,0.001
c4f10,Mt,ppb,Emissions|F-Gases|PFC|C4F10,kt C4F10/yr,0.001,Atmospheric Concentrations|F-Gases|PFC|C4F10,ppt,0.001
c5f12,Mt,ppb,Emissions|F-Gases|PFC|C5F12,kt C5F12/yr,0.001,Atmospheric Concentrations|F-Gases|PFC|C5F12,ppt,0.001
c6f14,Mt,ppb,Emissions|F-Gases|PFC|C6F14,kt C6F14/yr,0.001,Atmospheric Concentrations|F-Gases|PFC|C6F14,ppt,0.001
c7f16,Mt,ppb,Emissions|F-Gases|PFC|C7F16,kt C7F16/yr,0.001,Atmospheric Concentrations|F-Gases|PFC|C7F16,ppt,0.001
c8f18,Mt,ppb,Emissions|F-Gases|PFC|C8F18,kt C8F18/yr,0.001,Atmospheric Concentrations|F-Gases|PFC|C8F18,ppt,0.001
c_c4f8,Mt,ppb,Emissions|F-Gases|PFC|cC4F8,kt cC4F8/yr,0.001,Atmospheric Concentrations|F-Gases|PFC|cC4F8,ppt,0.001
carbon_dioxide,GtC,ppm,Emissions|CO2,Mt CO2/yr,0.00027266530334015,Atmospheric Concentrations|CO2,ppm,1.0
carbon_tetrachloride,Mt,ppb,Emissions|Montreal Gases|CCl4,kt CCl4/yr,0.001,Atmospheric Concentrations|Montreal Gases|CCl4,ppt,0.001
cf4,Mt,ppb,Emissions|F-Gases|PFC|CF4,kt CF4/yr,0.001,Atmospheric Concentrations|F-Gases|PFC|CF4,ppt,0.001
cfc113,Mt,ppb,Emissions|Montreal Gases|CFC|CFC113,kt CFC113/yr,0.001,Atmospheric Concentrations|Montreal Gases|CFC|CFC113,ppt,0.001
cfc114,Mt,ppb,Emissions|Montreal Gases|CFC|CFC114,kt CFC114/yr,0.001,Atmospheric Concentrations|Montreal Gases|CFC|CFC114,ppt,0.001
cfc115,Mt,ppb,Emissions|Montreal Gases|CFC|CFC115,kt CFC115/yr,0.001,Atmospheric Concentrations|Montreal Gases|CFC|CFC115,ppt,0.001
cfc11,Mt,ppb,Emissions|Montreal Gases|CFC|CFC11,kt CFC11/yr,0.001,Atmospheric Concentrations|Montreal Gases|CFC|CFC11,ppt,0.001
cfc12,Mt,ppb,Emissions|Montreal Gases|CFC|CFC12,kt CFC12/yr,0.001,Atmospheric Concentrations|Montreal Gases|CFC|CFC12,ppt,0.001
ch2cl2,Mt,ppb,Emissions|Montreal Gases|CH2Cl2,kt CH2Cl2/yr,0.001,Atmospheric Concentrations|Montreal Gases|CH2Cl2,ppt,0.001
ch3ccl3,Mt,ppb,Emissions|Montreal Gases|CH3CCl3,kt CH3CCl3/yr,0.001,Atmospheric Concentrations|Montreal Gases|CH3CCl3,ppt,0.001
chcl3,Mt,ppb,Emissions|Montreal Gases|CHCl3,kt CHCl3/yr,0.001,Atmospheric Concentrations|Montreal Gases|CHCl3,ppt,0.001
halon1211,Mt,ppb,Emissions|Montreal Gases|Halon1211,kt Halon1211/yr,0.001,Atmospheric Concentrations|Montreal Gases|Halon1211,ppt,0.001
halon1301,Mt,ppb,Emissions|Montreal Gases|Halon1301,kt Halon1301/yr,0.001,Atmospheric Concentrations|Montreal Gases|Halon1301,ppt,0.001
halon2402,Mt,ppb,Emissions|Montreal Gases|Halon2402,kt Halon2402/yr,0.001,Atmospheric Concentrations|Montreal Gases|Halon2402,ppt,0.001
